observation_id,paper_id,sourceDataRow,setting,observed_count,reported_rate_per_1000,source_incidence_definition,reverse_exposure_supported,approximate_exposure_player_hours,route,reason_or_evidence
71:incidence:overall:main,S061,71,overall,150,4.97,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
71:incidence:match:main,S061,71,match,63,25.2,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
71:incidence:training:main,S061,71,training,87,3.15,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
72:incidence:overall:main,S061,72,overall,314,6.83,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
72:incidence:match:main,S061,72,match,148,25.8,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
72:incidence:training:main,S061,72,training,166,4.13,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
73:incidence:overall:main,S061,73,overall,390,7.12,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
73:incidence:match:main,S061,73,match,195,27.5,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
73:incidence:training:main,S061,73,training,195,4.09,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
74:incidence:overall:main,S061,74,overall,540,8.57,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
74:incidence:match:main,S061,74,match,288,35.9,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
74:incidence:training:main,S061,74,training,252,4.59,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
75:incidence:overall:main,S061,75,overall,593,8.69,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
75:incidence:match:main,S061,75,match,340,38.5,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
75:incidence:training:main,S061,75,training,253,4.26,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
76:incidence:overall:main,S061,76,overall,380,8.72,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
76:incidence:match:main,S061,76,match,221,34.8,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
76:incidence:training:main,S061,76,training,152,4.08,number of injuries/1000 hours,false,,not_supported,explicit_crude_definition
109:incidence:overall:main,S072,109,overall,234,7.1,Injuries per 1000 hours of football,true,32957.74648,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
111:incidence:overall:main,S076,111,overall,133,7.8,The number of time-loss injuries per 1000 player hours.,true,17051.28205,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
112:incidence:overall:main,S076,112,overall,164,8.5,The number of time-loss injuries per 1000 player hours.,true,19294.11765,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
113:incidence:overall:main,S076,113,overall,194,10.9,The number of time-loss injuries per 1000 player hours.,true,17798.16514,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
114:incidence:overall:main,S076,114,overall,215,13.7,The number of time-loss injuries per 1000 player hours.,true,15693.43066,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
115:incidence:overall:main,S076,115,overall,234,17,The number of time-loss injuries per 1000 player hours.,true,13764.70588,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
116:incidence:overall:main,S076,116,overall,171,18.6,The number of time-loss injuries per 1000 player hours.,true,9193.548387,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
169:incidence:overall:main,S115,169,overall,182,7.6,injuries per 1000 hours of exposure,true,23947.36842,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
170:incidence:overall:main,S115,170,overall,307,9.6,injuries per 1000 hours of exposure,true,31979.16667,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
195:incidence:overall:main,S1447,195,overall,44,3.34,per 1000 match exposure hours,false,,not_supported,setting_matches_rate_definition
195:incidence:match:main,S1447,195,match,44,3.34,per 1000 match exposure hours,true,13173.65269,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
224:incidence:match:main,S159,224,match,219,41.9,number of injuries per 1000 player-hours exposure to play,true,5226.73031,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
224:incidence:training:main,S159,224,training,141,3,number of injuries per 1000 player-hours exposure to play,true,47000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
260:incidence:overall:main,S186,260,overall,237,7.4,number of non-contact injuries per 1000 h of exposure,true,32027.02703,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
266:incidence:overall:main,S192,266,overall,5,6.45,injuries/1000 h exposure,false,,not_supported,explicit_crude_definition
267:incidence:overall:main,S192,267,overall,1,1.15,injuries/1000 h exposure,false,,not_supported,explicit_crude_definition
268:incidence:overall:main,S1938,268,overall,7,11.34,per 1000 player-hours,true,617.2839506,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
269:incidence:overall:main,S1938,269,overall,1,1.31,per 1000 player-hours,true,763.3587786,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
270:incidence:overall:main,S1941,270,overall,17,7.8,per 1000 exposure hours,true,2179.487179,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
280:incidence:overall:main,S1993,280,overall,80,6.42,per 1000 exposure hours,true,12461.05919,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
280:incidence:match:main,S1993,280,match,18,5.94,per 1000 exposure hours,true,3030.30303,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
280:incidence:training:main,S1993,280,training,62,6.41,per 1000 exposure hours,true,9672.386895,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
307:incidence:overall:main,S2048,307,overall,42,8.94,injuries per 1000 player-hours,true,4697.986577,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
340:incidence:overall:main,S2234,340,overall,109,3.9,injuries per 1000 player-hours,true,27948.71795,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
340:incidence:match:main,S2234,340,match,25,6.4,injuries per 1000 player-hours,true,3906.25,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
340:incidence:training:main,S2234,340,training,84,3.5,injuries per 1000 player-hours,true,24000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
341:incidence:overall:main,S2234,341,overall,149,6,injuries per 1000 player-hours,true,24833.33333,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
341:incidence:match:main,S2234,341,match,53,11.3,injuries per 1000 player-hours,true,4690.265487,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
341:incidence:training:main,S2234,341,training,96,4.8,injuries per 1000 player-hours,true,20000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
342:incidence:overall:main,S2234,342,overall,202,7.4,injuries per 1000 player-hours,true,27297.2973,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
342:incidence:match:main,S2234,342,match,73,18.3,injuries per 1000 player-hours,true,3989.071038,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
342:incidence:training:main,S2234,342,training,129,5.5,injuries per 1000 player-hours,true,23454.54545,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
343:incidence:overall:main,S2234,343,overall,217,7.4,injuries per 1000 player-hours,true,29324.32432,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
343:incidence:match:main,S2234,343,match,80,15.6,injuries per 1000 player-hours,true,5128.205128,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
343:incidence:training:main,S2234,343,training,137,5.6,injuries per 1000 player-hours,true,24464.28571,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
344:incidence:overall:main,S2234,344,overall,155,5.1,injuries per 1000 player-hours,true,30392.15686,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
344:incidence:match:main,S2234,344,match,45,10.2,injuries per 1000 player-hours,true,4411.764706,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
344:incidence:training:main,S2234,344,training,110,4.2,injuries per 1000 player-hours,true,26190.47619,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
347:incidence:overall:main,S2254,347,overall,71,1.36,first substantial knee injuries per 1000 player-hours (training + match),true,52205.88235,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
407:incidence:overall:main,S247,407,overall,18,14.1,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
407:incidence:match:main,S247,407,match,13,16.3,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
407:incidence:training:main,S247,407,training,5,11.7,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
408:incidence:overall:main,S247,408,overall,36,22.7,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
408:incidence:match:main,S247,408,match,21,28.9,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
408:incidence:training:main,S247,408,training,15,14.6,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
409:incidence:overall:main,S247,409,overall,46,27.3,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
409:incidence:match:main,S247,409,match,20,33.9,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
409:incidence:training:main,S247,409,training,26,19.8,"Injury rates per 1000 h (for training and matches respectively) were calculated as per other research [7]. Injury rates were calculated as a group mean for the match context (SM vs. MM weeks) and squad means for comparison between seasons, which is similar to other research [3, 7, 8] that has used squad injury rates ie. total injuries for the squad and mean exposure duration.",false,,not_supported,explicit_crude_definition
422:incidence:overall:main,S2538,422,overall,5,9.57,injuries per 1000 player-hours,true,522.4660397,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
467:incidence:overall:main,S2761,467,overall,41,8.08,"per 1,000 exposure hours [training, match and combined]",false,,not_supported,explicit_crude_definition
468:incidence:overall:main,S2761,468,overall,32,6.17,"per 1,000 exposure hours [training, match and combined]",false,,not_supported,explicit_crude_definition
469:incidence:overall:main,S2761,469,overall,58,12.6,"per 1,000 exposure hours [training, match and combined]",false,,not_supported,explicit_crude_definition
470:incidence:overall:main,S2761,470,overall,49,9.81,"per 1,000 exposure hours [training, match and combined]",false,,not_supported,explicit_crude_definition
471:incidence:overall:main,S2761,471,overall,46,8.2,"per 1,000 exposure hours [training, match and combined]",false,,not_supported,explicit_crude_definition
479:incidence:match:main,S2823,479,match,12,3.1,"calf muscle strain injuries per 1000 player-hours, separately for match and training exposure",true,3870.967742,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
479:incidence:training:main,S2823,479,training,4,0.5,"calf muscle strain injuries per 1000 player-hours, separately for match and training exposure",true,8000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
497:incidence:match:main,S284,497,match,292,17.9,injuries per 1000 h,true,16312.84916,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
497:incidence:training:main,S284,497,training,213,2.5,injuries per 1000 h,true,85200,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
498:incidence:match:main,S284,498,match,493,15.1,injuries per 1000 h,true,32649.00662,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
498:incidence:training:main,S284,498,training,355,1.9,injuries per 1000 h,true,186842.1053,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
504:incidence:overall:main,S291,504,overall,117,8.4,injuries per 1000 hours of exposure,true,13928.57143,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
504:incidence:match:main,S291,504,match,71,29.9,injuries per 1000 hours of exposure,true,2374.58194,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
504:incidence:training:main,S291,504,training,46,4.1,injuries per 1000 hours of exposure,true,11219.5122,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
505:incidence:overall:main,S292,505,overall,14,20.2,Injuries per 1000 match hours,false,,not_supported,sole_time_loss_definition; setting_matches_rate_definition
518:incidence:match:main,S2991,518,match,11,12.2,"injuries per 1000 player-hours of total, match or training exposure",true,901.6393443,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
518:incidence:training:main,S2991,518,training,29,2.3,"injuries per 1000 player-hours of total, match or training exposure",true,12608.69565,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
524:incidence:overall:main,S305,524,overall,95,4.2,number of injuries per 1000 hours of exposure in training and/or games,false,,not_supported,setting_matches_rate_definition
