observation_id,outcome_scope,raw_outcome_scope,location,type,diagnosis,threshold_route,metric_alignment_status,reason,evidence,paper_id,sourceDataRow,metric,setting,metric_usability,evidence_grade,scope_alignment_status,adjudicated_outcome_scope,pair_review_status,source_title,time_loss_definition,exposure_method_status,reverse_exposure_supported,reverse_exposure_route,reverse_exposure_player_hours,reverse_exposure_evidence,model_eligibility,verified_injury_count,count_alignment_evidence,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,canonical_scope_basis,burden_numerator_hours_available,verified_days_lost,days_alignment_evidence,prefit_gate
1:incidence:overall:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",S005,1,incidence,overall,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
1:incidence:match:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",S005,1,incidence,match,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
1:incidence:training:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",S005,1,incidence,training,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
2:incidence:overall:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",S005,2,incidence,overall,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
2:incidence:match:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",S005,2,incidence,match,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
2:incidence:training:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator. Saved source context does not establish that the stored hours are cohort player-hour totals; exposure construction requires source verification.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",S005,2,incidence,training,none,saved extraction/source context,hold_exposure_construction_unresolved,all_injuries,not_matching_pair,Exposure and injury risk in Swedish elite football: a comparison between seasons 1982 and 2001,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
3:incidence:overall:main,all_injuries_scope_review,all_injuries_scope_review,,,,hold,hold,"The saved source wording does not identify a separable time-loss outcome. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",S008,3,incidence,overall,descriptive_only,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Amundsen - 2023 - #ReadyToPlay health problems in women's football-a two-season prospective cohort study in the Norwe.pdf,physical complaint,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:main,all_injuries,all_injuries_scope_review,,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",S009,4,incidence,overall,count_hour,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:match:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved source context flags a numerator, days or denominator mismatch for this metric.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",S009,4,incidence,match,none,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:training:main,all_injuries,all_injuries_scope_review,,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",S009,4,incidence,training,descriptive_only,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
