unresolved_group,paper_id,source_rows,named_populations,selection_policy,parent_selection_counts,child_selection_counts,remaining_source_question,owner,evidence
S112:parent:160,S112,160;161;162;163;164,S112 WECIS women total - 2018/2019-2021/2022;S112 WECIS women season - 2018/2019;S112 WECIS women season - 2019/2020;S112 WECIS women season - 2020/2021;S112 WECIS women season - 2021/2022,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""hold"": 1, ""select"": 35}","{""hold"": 12, ""select"": 4}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 160 and child rows 161,162,163,164; exact fields: injuryTotalCount"
S1229:parent:174,S1229,174;175;176;177;178,Total;U14;U16;U18;Senior,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 3}","{""hold"": 12}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 174 and child rows 175,176,177,178; exact fields: sampleSizePlayers,injuryTotalCount"
S1957:parent:271,S1957,271;272;273;274;275;276,Total;U10;U12;U14;U16;U19,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 16}","{""hold"": 80}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 271 and child rows 272,273,274,275,276"
S2761:parent:466,S2761,466;467;468;469;470;471,Total;2016-2017 season;2017-2018 season;2018-2019 season;2019-2020 season;2020-2021 season,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 8}","{""hold"": 15}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 466 and child rows 467,468,469,470,471; exact fields: sampleSizePlayers"
S2824:parent:480,S2824,480;489;490;491;492,All seasons;2008/09 historical all-injury cohort (S195);2013/14-2014/15 groin supplement (S344);2013/14-2017/18 ACL supplement (S555);2013/14-2020/21 head-neck-concussion supplement (S712),retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 24}","{""duplicate"": 8, ""select"": 14}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 480 and child rows 489,490,491,492"
S381:parent:610,S381,610;611;612;613,Total;U14;U15;U16,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 4}","{""hold"": 9}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 610 and child rows 611,612,613; exact fields: injuryTotalCount"
S387:parent:617,S387,617;618;619;620;621,Total;U-13;U-15;U-17;U-19,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 3}","{""hold"": 8}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 617 and child rows 618,619,620,621; exact fields: sampleSizePlayers,injuryTotalCount"
S405:parent:683,S405,683;684;685;686,Total;2015-2016;2016-2017;2017-2018,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 21}","{""hold"": 63}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 683 and child rows 684,685,686; exact fields: sampleSizePlayers,injuryTotalCount"
S4562:parent:779,S4562,779;780;781,Total;Match;Training,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""hold"": 1, ""select"": 3}","{""hold"": 37}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 779 and child rows 780,781"
S4634:parent:791,S4634,791;792;793;794;795;796;797;798,Female all seasons;Female 2014/15;Female 2015/16;Female 2016/17;Female 2017/18;Female 2018/19;Female 2019/20;Female 2020/21,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 1}","{""hold"": 7}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 791 and child rows 792,793,794,795,796,797,798"
S4634:parent:799,S4634,799;800;801;802;803;804;805;806,Male all seasons;Male 2014/15;Male 2015/16;Male 2016/17;Male 2017/18;Male 2018/19;Male 2019/20;Male 2020/21,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 1}","{""hold"": 7}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 799 and child rows 800,801,802,803,804,805,806"
S5049:parent:900,S5049,900;901;902;903;904;905;906,All seasons;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22,retain a source-supported parent; hold only a competing child with the same final target; select a supported child with no parent counterpart,"{""select"": 3}","{""hold"": 18}",Confirm mutual exclusivity only if a later analysis needs the parent and competing child representations together.,source-alignment reviewer if simultaneous parent/child use is proposed,"standardised.csv sourceDataRow 900 and child rows 901,902,903,904,905,906; exact fields: injuryTotalCount"
