study_id,paper_ids_in_working_master,source_rows,overlap_family,historical_role,anchor_study_id,relationship,selection_purpose,observations,all_injury_observations,restricted_target_observations,select_observations,duplicate_observations,hold_observations,evidence,ledger_locator
S008,S008,3,ready-to-play-norway-women,anchor,,,"family anchor, selectable for its all-injury target",1,1,0,0,0,1,Full cohort source.,source-family-decision-ledger-2026-07-27.json family=ready-to-play-norway-women; studyId=S008
S025,S025,24;25,dutch-amateur-professional-2009-10,anchor,,,"family anchor, selectable for its all-injury target",6,6,0,6,0,0,Direct two-cohort comparison.,source-family-decision-ledger-2026-07-27.json family=dutch-amateur-professional-2009-10; studyId=S025
S058,S058,68;69,swedish-elite-sex-2005,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",8,6,2,8,0,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=swedish-elite-sex-2005; studyId=S058
S075,S075,110,german-youth-academy-2012-13,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",11,3,8,11,0,0,Direct abstract and Methods denominators.,source-family-decision-ledger-2026-07-27.json family=german-youth-academy-2012-13; studyId=S075
S076,S076,111;112;113;114;115;116,aspetar-aspire-academy,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",40,24,16,40,0,0,"S076 primary PDF, Methods and Discussion, directly identify the period and its relationship to the preceding academy study.",source-family-decision-ledger-2026-07-27.json family=aspetar-aspire-academy; studyId=S076
S086,S086,125,female-hypermobility-2014-15,anchor,,,"family anchor, selectable for its all-injury target",3,3,0,0,0,3,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=female-hypermobility-2014-15; studyId=S086
S088,S088,134;135,german-knee-prevention,anchor,,,"family anchor, selectable for its distinct restricted target",2,0,2,2,0,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=german-knee-prevention; studyId=S088
S099,S099,141;142,fifa11-shoulder-goalkeepers,anchor,,,"family anchor, selectable for its distinct restricted target",12,0,12,10,2,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=fifa11-shoulder-goalkeepers; studyId=S099
S1014,S1014,143;144,funball-cluster-rct,anchor,,,"family anchor, selectable for its all-injury target",2,2,0,0,0,2,Primary RCT with directly reported arm denominators.,source-family-decision-ledger-2026-07-27.json family=funball-cluster-rct; studyId=S1014
S102,S102,145;146;147;148;149,english-youth-female-2019-20,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",48,20,28,46,0,2,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=english-youth-female-2019-20; studyId=S102
