observation_id,selection,overlap_family,parent_id,reason,evidence,duplicate_of,analysis_target,alignment_status,threshold_route,metric_usability,reverse_exposure_supported,cohort_period_key,setting_handling,overlap_status,source_locator,historical_study_id,historical_role
1:incidence:overall:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|overall|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|1|Row 1|2,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=1:incidence:overall:main; sourceDataRow=1,S005,
1:incidence:match:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|match|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|1|Row 1|2,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=1:incidence:match:main; sourceDataRow=1,S005,
1:incidence:training:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|training|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|1|Row 1|2,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=1:incidence:training:main; sourceDataRow=1,S005,
2:incidence:overall:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|overall|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|2|Row 2|2,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=2:incidence:overall:main; sourceDataRow=2,S005,
2:incidence:match:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|match|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|2|Row 2|2,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=2:incidence:match:main; sourceDataRow=2,S005,
2:incidence:training:main,hold,S005,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|training|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S005|2|Row 2|2,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=2:incidence:training:main; sourceDataRow=2,S005,
3:incidence:overall:main,hold,ready-to-play-norway-women,,Held because the final alignment record does not support this source metric or threshold route.,source-family-decision-ledger-2026-07-27.json family=ready-to-play-norway-women; studyId=S008; Full cohort source.; alignment-decisions.csv metric/threshold hold,,incidence|overall|all_injuries_scope_review|hold,hold,hold,descriptive_only,false,S008|3|Row 1|2,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,existing_source_family_policy_applies,injury-analysis-master.csv observation_id=3:incidence:overall:main; sourceDataRow=3,S008,anchor
4:incidence:overall:main,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|all_injuries|sensitivity,supported,sensitivity,count_hour,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:main; sourceDataRow=4,S009,
4:incidence:match:main,hold,S009,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|match|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S009|4|Row 1|varies by team (4-58 months),separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:match:main; sourceDataRow=4,S009,
4:incidence:training:main,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|training|all_injuries|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:training:main; sourceDataRow=4,S009,
