source,reason,score,matched_area,matched_study_id,title,matched_title,doi,matched_doi
"Medline","doi","100","existing_extraction","S471","Well-being fluctuations and injuries during an entire season in male professional soccer players: an observational study.","Well-being fluctuations and injuries during an entire season in male professional soccer players: an observational study","10.1080/15438627.2024.2330959","10.1080/15438627.2024.2330959"
"Medline","doi","100","existing_extraction","S506","The impact of a mid-season FIFA World Cup TM on injury occurrence and patterns in French professional soccer clubs.","The impact of a mid-season FIFA World Cup TM on injury occurrence and patterns in French professional soccer clubs.","10.1080/15438627.2024.2326517","10.1080/15438627.2024.2326517"
"Medline","doi","100","existing_extraction","S472","What do we know about beach soccer injuries? Systematic video analysis of four consecutive years with 580 match injuries.","What do we know about beach soccer injuries? Systematic video analysis of four consecutive years with 580 match injuries","10.1080/15438627.2024.2324257","10.1080/15438627.2024.2324257"
"Medline","doi","100","existing_extraction","S394","An injury burden heat map of all men's and women's teams of a professional football club over a decade.","An injury burden heat map of all men's and women's teams of a professional football club over a decade.","10.1080/15438627.2023.2228959","10.1080/15438627.2023.2228959"
"Medline","doi","100","existing_extraction","S409","Muscle injury characteristics and incidence rates in men's amateur soccer: A one season prospective study.","Muscle injury characteristics and incidence rates in men's amateur soccer: A one season prospective study.","10.1080/15438627.2022.2122827","10.1080/15438627.2022.2122827"
"Medline","title_author_year","100","within_second_search","","Mass Participation and Tournament Event Management for the Team Physician: A Consensus Statement (2022 Update).","Mass Participation and Tournament Event Management for the Team Physician: A Consensus Statement (2022 Update).","10.1249/mss.0000000000003325","10.1249/jsr.0000000000001160"
"Medline","doi","100","existing_extraction","S366","Uncovering injuries in Brazilian elite women's football: A prospective cohort study.","Uncovering injuries in Brazilian elite women's football: A prospective cohort study","10.1016/j.jsams.2024.01.008","10.1016/j.jsams.2024.01.008"
"Medline","doi","100","existing_extraction","S497","Longitudinal analysis of the incidence rate of injury in elite youth football: Trends over six years including the COVID-19 pandemic period.","Longitudinal analysis of the incidence rate of injury in elite youth football: Trends over six years including the COVID-19 pandemic period","10.1016/j.ptsp.2024.01.006","10.1016/j.ptsp.2024.01.006"
"Medline","doi","100","existing_extraction","S420","Lost in transition: Exploring injury risk in academy footballers shifting between the second and first teams.","Lost in transition: Exploring injury risk in academy footballers shifting between the second and first teams","10.1016/j.jsams.2023.11.009","10.1016/j.jsams.2023.11.009"
"Medline","doi","100","existing_extraction","S421","Exploring the true burden of a time-loss injury: full vs partial time-loss in elite academy football (soccer).","Exploring the true burden of a time-loss injury: full vs partial time-loss in elite academy football (soccer)","10.1080/24733938.2022.2156587","10.1080/24733938.2022.2156587"
"Medline","doi","100","existing_extraction","S498","Epidemiology of Anterior Cruciate Ligament Tears in National Collegiate Athletic Association Athletes: 2014/2015-2018/2019.","Epidemiology of Anterior Cruciate Ligament Tears in National Collegiate Athletic Association Athletes: 2014/2015-2018/2019","10.1249/mss.0000000000003281","10.1249/mss.0000000000003281"
"Medline","doi","100","existing_extraction","S542","Unmasking mental health symptoms in female professional football players: a 12-month follow-up study.","Unmasking mental health symptoms in female professional football players: A 12-month follow-up study","10.1136/bmjsem-2024-001922","10.1136/bmjsem-2024-001922"
"Medline","doi","100","existing_extraction","S419","A musculoskeletal multifactorial individualised programme for hamstring muscle injury risk reduction in professional football: results of a prospective cohort study.","A musculoskeletal multifactorial individualised programme for hamstring muscle injury risk reduction in professional football: results of a prospective cohort study","10.1136/bmjsem-2023-001866","10.1136/bmjsem-2023-001866"
"Embase","doi","100","within_second_search","","Increased rate of injuries to the anterior cruciate ligament in amateur soccer players after the COVID-19 pandemic lockdown","Increased rate of injuries to the anterior cruciate ligament in amateur soccer players after the COVID-19 pandemic lockdown.","10.1007/s00402-024-05531-y","10.1007/s00402-024-05531-y"
"Embase","doi","100","within_second_search","","Hamstring Injuries: A Paradigm for Return to Play","Hamstring Injuries: A Paradigm for Return to Play.","10.1055/s-0043-1778027","10.1055/s-0043-1778027"
"Embase","doi","100","within_second_search","","Quantifying the impact of the coronavirus 2019 pandemic on youth sports-related injuries in the USA","Quantifying the impact of the coronavirus 2019 pandemic on youth sports-related injuries in the USA.","10.1097/bpb.0000000000001096","10.1097/bpb.0000000000001096"
"Embase","doi","100","within_second_search","","Quantitative assessment of brain injury and concussion induced by an unintentional soccer ball impact","Quantitative assessment of brain injury and concussion induced by an unintentional soccer ball impact.","10.1016/j.injury.2024.111658","10.1016/j.injury.2024.111658"
"Embase","doi","100","within_second_search","","Systematic video analysis of shoulder dislocations in professional male football (soccer): Injury mechanisms, situational and kinematic patterns","Systematic video analysis of shoulder dislocations in professional male football (soccer): Injury mechanisms, situational and kinematic patterns.","10.1002/jeo2.70121","10.1002/jeo2.70121"
"Embase","doi","100","within_second_search","","Only severe Injuries are effectively reduced by muscles' injury prevention protocols in football players: A systematic review","Only severe Injuries are effectively reduced by muscles' injury prevention protocols in football players: A systematic review.","10.12688/f1000research.148925.2","10.12688/f1000research.148925.2"
"Embase","doi","100","within_second_search","","Operative Treatment of Ulnar Collateral Ligament Injury in Female Athletes","Operative Treatment of Ulnar Collateral Ligament Injury in Female Athletes.","10.1177/23259671241235600","10.1177/23259671241235600"
"Embase","doi","100","within_second_search","","The association between aerobic capacity and spinal curvature and mobility in young soccer players","The association between aerobic capacity and spinal curvature and mobility in young soccer players.","10.1016/j.gaitpost.2024.10.004","10.1016/j.gaitpost.2024.10.004"
"Embase","doi","100","within_second_search","","Sports-Related Pure Orbital Blowout Fractures in Japan: Differences in Demographic and Clinical Characteristics between Sports","Sports-Related Pure Orbital Blowout Fractures in Japan: Differences in Demographic and Clinical Characteristics between Sports.","10.3390/diagnostics14090913","10.3390/diagnostics14090913"
"Embase","doi","100","within_second_search","","Ankle sprain, concussion, and anterior cruciate ligament injuries are common and burdensome in sub-elite female Australian football players","Ankle sprain, concussion, and anterior cruciate ligament injuries are common and burdensome in sub-elite female Australian football players.","10.1016/j.jsams.2024.05.008","10.1016/j.jsams.2024.05.008"
"Embase","doi","100","within_second_search","","Early sports specialization in Japanese young soccer players and related factors","Early sports specialization in Japanese young soccer players and related factors.","10.1371/journal.pone.0302339","10.1371/journal.pone.0302339"
"Embase","doi","100","within_second_search","","Knowledge and Attitudes of Concussion Reporting Behavior Intentions in Parents of Youth Recreational Football Players","Knowledge and Attitudes of Concussion Reporting Behavior Intentions in Parents of Youth Recreational Football Players.","10.1080/02701367.2023.2189444","10.1080/02701367.2023.2189444"
"Embase","doi","100","within_second_search","","Infographic. Injury mechanisms and situational patterns of severe lower limb muscle injuries in male professional football (soccer) players: a systematic video analysis study on 103 cases","Infographic. Injury mechanisms and situational patterns of severe lower limb muscle injuries in male professional football (soccer) players: a systematic video analysis study on 103 cases.","10.1136/bjsports-2023-107908","10.1136/bjsports-2023-107908"
"Embase","doi","100","within_second_search","","Heading into the future: Evaluating the risk of repetitive impacts in football (soccer)","Heading into the future: Evaluating the risk of repetitive impacts in football (soccer).","10.1016/j.jsams.2024.08.197","10.1016/j.jsams.2024.08.197"
"Embase","doi","100","within_second_search","","Training with reduced carbohydrate availability affects markers of bone resorption and formation in male academy soccer players from the English Premier League","Training with reduced carbohydrate availability affects markers of bone resorption and formation in male academy soccer players from the English Premier League.","10.1007/s00421-024-05574-4","10.1007/s00421-024-05574-4"
"Embase","doi","100","within_second_search","","Consensus on maturity-related injury risks and prevention in youth soccer: A Delphi study","Consensus on maturity-related injury risks and prevention in youth soccer: A Delphi study.","10.1371/journal.pone.0312568","10.1371/journal.pone.0312568"
"Embase","doi","100","within_second_search","","Outcomes of ""Over the Top"" Anterior Cruciate Ligament Reconstruction Associated with a Lateral Extra-Articular Tenodesis in Children","Outcomes of ""Over the Top"" Anterior Cruciate Ligament Reconstruction Associated with a Lateral Extra-Articular Tenodesis in Children.","10.3390/jcm13051501","10.3390/jcm13051501"
"Embase","doi","100","within_second_search","","Concussion Symptomatology by Symptom Resolution Time in US High School Athletes: Findings From the National Athletic Treatment, Injury and Outcomes Network High School Surveillance Program (NATION-SP)","Concussion Symptomatology by Symptom Resolution Time in US High School Athletes: Findings From the National Athletic Treatment, Injury and Outcomes Network High School Surveillance Program (NATION-SP).","10.4085/1062-6050-0201.23","10.4085/1062-6050-0201.23"
"Embase","doi","100","within_second_search","","Retrospective Case Series of Spinal Cord Neurapraxia in Male Adolescent Athletes: Can These Athletes Return-to-Play?","Retrospective Case Series of Spinal Cord Neurapraxia in Male Adolescent Athletes: Can These Athletes Return-to-Play?.","10.1227/neu.0000000000002884","10.1227/neu.0000000000002884"
"Embase","doi","100","within_second_search","","The Acute: Chronic Workload Ratio and Injury Risk in Semiprofessional Football Players","The Acute: Chronic Workload Ratio and Injury Risk in Semiprofessional Football Players.","10.1055/a-2282-0024","10.1055/a-2282-0024"
"Embase","doi","100","within_second_search","","Return to sports in female athletes after anterior cruciate ligament reconstruction: A systematic review and metanalysis","Return to sports in female athletes after anterior cruciate ligament reconstruction: A systematic review and metanalysis.","10.1016/j.jisako.2024.01.008","10.1016/j.jisako.2024.01.008"
"Embase","doi","100","within_second_search","","Acceleration profile of high-impact movements during young football games: a cross-sectional study involving healthy children","Acceleration profile of high-impact movements during young football games: a cross-sectional study involving healthy children.","10.1080/14763141.2021.1970796","10.1080/14763141.2021.1970796"
"Embase","doi","100","within_second_search","","AI-Based Denoising of Head Impact Kinematics Measurements With Convolutional Neural Network for Traumatic Brain Injury Prediction","AI-Based Denoising of Head Impact Kinematics Measurements With Convolutional Neural Network for Traumatic Brain Injury Prediction.","10.1109/tbme.2024.3392537","10.1109/tbme.2024.3392537"
"Embase","doi","100","within_second_search","","Social Support, Stress, and Mental Health: Examining the Stress-Buffering Hypothesis in Adolescent Football Athletes","Social Support, Stress, and Mental Health: Examining the Stress-Buffering Hypothesis in Adolescent Football Athletes.","10.4085/1062-6050-0324.23","10.4085/1062-6050-0324.23"
"Embase","doi","100","within_second_search","","Awareness of fifth metatarsal stress fractures among soccer coaches in Japan: A cross-sectional study","Awareness of fifth metatarsal stress fractures among soccer coaches in Japan: A cross-sectional study.","10.1371/journal.pone.0277582","10.1371/journal.pone.0277582"
"Embase","doi","100","within_second_search","","A Pilot Study Investigating the Use of Serum Glial Fibrillary Acidic Protein to Monitor Changes in Brain White Matter Integrity After Repetitive Head Hits During a Single Collegiate Football Game","A Pilot Study Investigating the Use of Serum Glial Fibrillary Acidic Protein to Monitor Changes in Brain White Matter Integrity After Repetitive Head Hits During a Single Collegiate Football Game.","10.1089/neu.2023.0307","10.1089/neu.2023.0307"
"Embase","doi","100","within_second_search","","Anterior Cruciate Ligament Tears in Soccer Players","Anterior Cruciate Ligament Tears in Soccer Players.","10.1097/jsa.0000000000000391","10.1097/jsa.0000000000000391"
"Embase","doi","100","within_second_search","","Decrease in aerial challenges after revision of goal kick rules in Japan Professional Soccer League: explorative study of the possibility of a risk reduction for head injury, concussion, and brain damage by a rule revision","Decrease in aerial challenges after revision of goal kick rules in Japan Professional Soccer League: explorative study of the possibility of a risk reduction for head injury, concussion, and brain damage by a rule revision.","10.1080/24733938.2022.2142274","10.1080/24733938.2022.2142274"
"Embase","doi","100","within_second_search","","Blood and MRI biomarkers of mild traumatic brain injury in non-concussed collegiate football players","Blood and MRI biomarkers of mild traumatic brain injury in non-concussed collegiate football players.","10.1038/s41598-023-51067-3","10.1038/s41598-023-51067-3"
"Embase","doi","100","within_second_search","","Slipped vertebrae (Spondylolysis): the underestimated weak point of the (pre)professional football player-an algorithm","[Slipped vertebrae (Spondylolysis): the underestimated weak point of the (pre)professional football player-an algorithm].","10.1007/s00132-024-04510-w","10.1007/s00132-024-04510-w"
"Embase","doi","100","within_second_search","","Autograft Choice and Jumping Performance After Anterior Cruciate Ligament Reconstruction: A Comparative Study on Professional Athletes","Autograft Choice and Jumping Performance After Anterior Cruciate Ligament Reconstruction: A Comparative Study on Professional Athletes.","10.1177/23259671241278690","10.1177/23259671241278690"
"Embase","doi","100","within_second_search","","Comparing the healthy development of youth Australian Rules Footballers across talent development and community settings","Comparing the healthy development of youth Australian Rules Footballers across talent development and community settings.","10.1136/bmjsem-2023-001799","10.1136/bmjsem-2023-001799"
"Embase","doi","100","within_second_search","","Impact of curcumin supplementation on exercise performance and muscle damage after a soccer match: a double-blind placebo-controlled cross-over study","Impact of curcumin supplementation on exercise performance and muscle damage after a soccer match: a double-blind placebo-controlled cross-over study.","10.1007/s00421-024-05429-y","10.1007/s00421-024-05429-y"
"Embase","doi","100","within_second_search","","Satisfaction with Labial Reinforcement of Custom-Made Mouthguards Among a Cohort of Rugby Union Players: A Randomized Crossover Trial","Satisfaction with Labial Reinforcement of Custom-Made Mouthguards Among a Cohort of Rugby Union Players: A Randomized Crossover Trial.","10.11607/ijp.8444","10.11607/ijp.8444"
"Embase","doi","100","within_second_search","","Hip adduction and abduction strength profiles in elite and sub-elite female soccer players according to players level and leg limb-dominance","Hip adduction and abduction strength profiles in elite and sub-elite female soccer players according to players level and leg limb-dominance.","10.1186/s13102-024-00838-0","10.1186/s13102-024-00838-0"
"Embase","doi","100","within_second_search","","Response to ""Comment on: Machine Learning for Understanding and Predicting Injuries in Football""","Response to ""Comment on: Machine Learning for Understanding and Predicting Injuries in Football"".","10.1186/s40798-024-00751-3","10.1186/s40798-024-00751-3"
"Embase","doi","100","within_second_search","","Imaging and Surgical Procedures After Surface-Related Collegiate Football Injuries on Artificial Turf Versus Natural Grass: Prevalence and Trends Over 15 Seasons","Imaging and Surgical Procedures After Surface-Related Collegiate Football Injuries on Artificial Turf Versus Natural Grass: Prevalence and Trends Over 15 Seasons.","10.1177/23259671241274144","10.1177/23259671241274144"
"Embase","doi","100","within_second_search","","Effectiveness of cryo plus ultrasound therapy versus diathermy in combination with high-intensity laser therapy for pain relief in footballers with muscle injuries: A prospective study","Effectiveness of cryo plus ultrasound therapy versus diathermy in combination with high-intensity laser therapy for pain relief in footballers with muscle injuries: A prospective study.","10.3233/bmr-230265","10.3233/bmr-230265"
